일자,수익률,대비,종목명
2022-07-25,3.153,-0.065,국채3년
2022-07-26,3.121,-0.032,국채3년
2022-07-27,3.09,-0.031,국채3년
2022-07-28,3.13,0.04,국채3년
2022-07-29,3.009,-0.121,국채3년
2022-08-01,3.081,0.072,국채3년
2022-08-02,3.012,-0.069,국채3년
2022-08-03,3.065,0.053,국채3년
2022-08-04,3.114,0.049,국채3년
2022-08-05,3.079,-0.035,국채3년
2022-08-08,3.134,0.055,국채3년
2022-08-09,3.134,0.0,국채3년
2022-08-10,3.154,0.02,국채3년
2022-08-11,3.124,-0.03,국채3년
2022-08-12,3.181,0.057,국채3년
2022-08-16,3.078,-0.103,국채3년
2022-08-17,3.087,0.009,국채3년
2022-08-18,3.125,0.038,국채3년
2022-08-19,3.197,0.072,국채3년
2022-08-22,3.245,0.048,국채3년
2022-08-23,3.281,0.036,국채3년
2022-08-24,3.311,0.03,국채3년
2022-08-25,3.531,0.22,국채3년
2022-08-26,3.525,-0.006,국채3년
2022-08-29,3.653,0.128,국채3년
2022-08-30,3.642,-0.011,국채3년
2022-08-31,3.685,0.043,국채3년
2022-09-01,3.778,0.093,국채3년
2022-09-02,3.678,-0.1,국채3년
2022-09-05,3.616,-0.062,국채3년
2022-09-06,3.682,0.066,국채3년
2022-09-07,3.685,0.003,국채3년
2022-09-08,3.543,-0.142,국채3년
2022-09-13,3.536,-0.007,국채3년
2022-09-14,3.585,0.049,국채3년
2022-09-15,3.77,0.185,국채3년
2022-09-16,3.767,-0.003,국채3년
2022-09-19,3.759,-0.008,국채3년
2022-09-20,3.823,0.064,국채3년
2022-09-21,3.847,0.024,국채3년
2022-09-22,4.104,0.257,국채3년
2022-09-23,4.199,0.095,국채3년
2022-09-26,4.548,0.349,국채3년
2022-09-27,4.304,-0.244,국채3년
2022-09-28,4.338,0.034,국채3년
2022-09-29,4.303,-0.035,국채3년
2022-09-30,4.186,-0.117,국채3년
2022-10-04,4.081,-0.105,국채3년
2022-10-05,4.157,0.076,국채3년
2022-10-06,4.145,-0.012,국채3년
2022-10-07,4.276,0.131,국채3년
2022-10-11,4.342,0.066,국채3년
2022-10-12,4.107,-0.235,국채3년
2022-10-13,4.203,0.096,국채3년
2022-10-14,4.207,0.004,국채3년
2022-10-17,4.239,0.032,국채3년
2022-10-18,4.242,0.003,국채3년
2022-10-19,4.331,0.089,국채3년
2022-10-20,4.35,0.019,국채3년
2022-10-21,4.495,0.145,국채3년
2022-10-24,4.305,-0.19,국채3년
2022-10-25,4.221,-0.084,국채3년
2022-10-26,4.208,-0.013,국채3년
2022-10-27,4.254,0.046,국채3년
2022-10-28,4.112,-0.142,국채3년
2022-10-31,4.185,0.073,국채3년
2022-11-01,4.068,-0.117,국채3년
2022-11-02,4.095,0.027,국채3년
2022-11-03,4.158,0.063,국채3년
2022-11-04,4.118,-0.04,국채3년
2022-11-07,4.186,0.068,국채3년
2022-11-08,4.156,-0.03,국채3년
2022-11-09,4.086,-0.07,국채3년
2022-11-10,4.033,-0.053,국채3년
2022-11-11,3.834,-0.199,국채3년
2022-11-14,3.85,0.016,국채3년
2022-11-15,3.753,-0.097,국채3년
2022-11-16,3.808,0.055,국채3년
2022-11-17,3.804,-0.004,국채3년
2022-11-18,3.787,-0.017,국채3년
2022-11-21,3.837,0.05,국채3년
2022-11-22,3.844,0.007,국채3년
2022-11-23,3.849,0.005,국채3년
2022-11-24,3.689,-0.16,국채3년
2022-11-25,3.644,-0.045,국채3년
2022-11-28,3.669,0.025,국채3년
2022-11-29,3.723,0.054,국채3년
2022-11-30,3.689,-0.034,국채3년
2022-12-01,3.65,-0.039,국채3년
2022-12-02,3.616,-0.034,국채3년
2022-12-05,3.609,-0.007,국채3년
2022-12-06,3.633,0.024,국채3년
2022-12-07,3.672,0.039,국채3년
2022-12-08,3.676,0.004,국채3년
2022-12-09,3.657,-0.019,국채3년
2022-12-12,3.623,-0.034,국채3년
2022-12-13,3.623,0.0,국채3년
2022-12-14,3.53,-0.093,국채3년
2022-12-15,3.536,0.006,국채3년
2022-12-16,3.539,0.003,국채3년
2022-12-19,3.545,0.006,국채3년
2022-12-20,3.685,0.14,국채3년
2022-12-21,3.638,-0.047,국채3년
2022-12-22,3.567,-0.071,국채3년
2022-12-23,3.623,0.056,국채3년
2022-12-26,3.663,0.04,국채3년
2022-12-27,3.662,-0.001,국채3년
2022-12-28,3.668,0.006,국채3년
2022-12-29,3.719,0.051,국채3년
2022-12-30,3.722,0.003,국채3년
2023-01-02,3.782,0.06,국채3년
2023-01-03,3.661,-0.121,국채3년
2023-01-04,3.632,-0.029,국채3년
2023-01-05,3.644,0.012,국채3년
2023-01-06,3.681,0.037,국채3년
2023-01-09,3.577,-0.104,국채3년
2023-01-10,3.556,-0.021,국채3년
2023-01-11,3.472,-0.084,국채3년
2023-01-12,3.466,-0.006,국채3년
2023-01-13,3.369,-0.097,국채3년
2023-01-16,3.454,0.085,국채3년
2023-01-17,3.484,0.03,국채3년
2023-01-18,3.39,-0.094,국채3년
2023-01-19,3.248,-0.142,국채3년
2023-01-20,3.33,0.082,국채3년
2023-01-25,3.285,-0.045,국채3년
2023-01-26,3.273,-0.012,국채3년
2023-01-27,3.304,0.031,국채3년
2022-01-04,2.32,-0.005,국채10년
2022-01-05,2.375,0.055,국채10년
2022-01-06,2.481,0.106,국채10년
2022-01-07,2.458,-0.023,국채10년
2022-01-10,2.484,0.026,국채10년
2022-01-11,2.485,0.001,국채10년
2022-01-12,2.428,-0.057,국채10년
2022-01-13,2.397,-0.031,국채10년
2022-01-14,2.453,0.056,국채10년
2022-01-17,2.568,0.115,국채10년
2022-01-18,2.553,-0.015,국채10년
2022-01-19,2.537,-0.016,국채10년
